personId,machineId,gender,age,attendanceTime,attentionTime,date
319,1,F,58,1,0,11/12/2015 16:35
320,1,M,24,2,1,11/12/2015 16:35
321,1,M,24,29,3,11/12/2015 16:36
322,1,F,33,1,0,11/12/2015 16:37
323,1,M,24,37,36,11/12/2015 16:37
324,1,M,33,2,0,11/12/2015 16:39
325,1,F,33,1,0,11/12/2015 16:40
326,1,M,24,49,38,11/12/2015 16:40
327,1,F,33,1,0,11/12/2015 16:41
328,1,M,24,2,0,11/12/2015 16:42
329,1,M,6,1,0,11/12/2015 16:43
330,1,M,33,1,0,11/12/2015 16:46
331,1,M,24,1,0,11/12/2015 16:48
332,1,F,16,1,0,11/12/2015 16:48
333,1,M,24,30,21,11/12/2015 16:50
334,1,F,33,1,0,11/12/2015 16:52
335,1,M,24,27,22,11/12/2015 16:52
336,1,M,24,4,1,11/12/2015 16:53
337,1,M,33,3,2,11/12/2015 16:53
338,1,M,6,2,0,11/12/2015 16:54
339,1,M,33,54,1,11/12/2015 16:55
340,1,M,24,3,3,11/12/2015 16:56
341,1,F,70,1,0,11/12/2015 16:58
342,1,M,24,31,25,11/12/2015 16:59
343,1,F,33,1,0,11/12/2015 17:00
344,1,F,24,1,0,11/12/2015 17:00
345,1,M,24,3,2,11/12/2015 17:01
346,1,F,24,1,0,11/12/2015 17:01
347,1,M,33,1,0,11/12/2015 17:01
348,1,M,24,1,0,11/12/2015 17:01
349,1,M,24,2,2,11/12/2015 17:04
350,1,M,58,1,0,11/12/2015 17:04
351,1,M,33,3,2,11/12/2015 17:05
352,1,M,33,3,1,11/12/2015 17:05
353,1,M,24,33,25,11/12/2015 17:06
354,1,M,33,8,6,11/12/2015 17:07
355,1,M,33,6,4,11/12/2015 17:07
356,1,M,24,2,1,11/12/2015 17:08
357,1,M,24,2,1,11/12/2015 17:08
358,1,M,6,2,0,11/12/2015 17:11
359,1,F,24,2,1,11/12/2015 17:14
360,1,F,33,2,0,11/12/2015 17:14
361,1,F,24,6,5,11/12/2015 17:15
362,1,M,33,3,2,11/12/2015 17:15
363,1,F,24,15,14,11/12/2015 17:15
364,1,F,24,2,1,11/12/2015 17:15
365,1,F,33,2,2,11/12/2015 17:15
366,1,F,58,7,3,11/12/2015 17:15
367,1,F,58,6,4,11/12/2015 17:15
368,1,F,24,4,3,11/12/2015 17:15
369,1,M,24,1,0,11/12/2015 17:16
370,1,F,24,2,1,11/12/2015 17:16
371,1,F,6,2,1,11/12/2015 17:16
372,1,F,6,4,1,11/12/2015 17:23
373,1,F,33,3,1,11/12/2015 17:33
374,1,F,16,1,1,11/12/2015 17:33
375,1,F,24,2,1,11/12/2015 17:33
376,1,F,6,2,0,11/12/2015 17:33
377,1,F,33,1,0,11/12/2015 17:33
378,1,F,6,4,1,11/12/2015 17:35
379,1,F,24,4,3,11/12/2015 17:36
380,1,F,24,4,3,11/12/2015 17:36
381,1,M,33,3,2,11/12/2015 17:40
382,1,M,70,1,0,11/12/2015 17:40
383,1,M,33,4,4,11/12/2015 17:40
384,1,M,33,6,5,11/12/2015 17:40
385,1,M,33,4,2,11/12/2015 17:40
386,1,M,58,3,0,11/12/2015 17:40
387,1,F,58,1,0,11/12/2015 17:51
388,1,F,33,1,0,11/12/2015 17:51
389,1,M,33,9,7,11/12/2015 17:52
390,1,M,33,9,7,11/12/2015 17:52
391,1,F,24,1,0,11/12/2015 17:54
392,1,M,24,5,2,11/12/2015 17:54
393,1,F,70,5,2,11/12/2015 17:54
394,1,M,58,3,2,11/12/2015 17:54
395,1,M,33,6,4,11/12/2015 17:54
396,1,M,24,4,2,11/12/2015 17:55
397,1,M,33,1,0,11/12/2015 17:55
398,1,M,33,4,3,11/12/2015 17:55
399,1,M,58,1,0,11/12/2015 17:55
400,1,M,24,2,0,11/12/2015 17:57
401,1,M,58,3,1,11/12/2015 17:57
402,1,M,24,3,0,11/12/2015 17:57
403,1,M,33,3,1,11/12/2015 17:58
404,1,M,33,4,2,11/12/2015 17:58
405,1,M,33,3,1,11/12/2015 17:58
406,1,M,24,4,2,11/12/2015 17:59
407,1,M,24,2,0,11/12/2015 17:59
408,1,M,33,3,1,11/12/2015 18:04
409,1,F,6,3,1,11/12/2015 18:20
410,1,M,24,3,2,11/12/2015 18:20
411,1,F,6,4,3,11/12/2015 18:20
412,1,M,24,2,1,11/12/2015 18:20
413,1,M,24,3,2,11/12/2015 18:20
414,1,M,33,2,1,11/12/2015 18:20
415,1,M,24,3,0,11/12/2015 18:20
416,1,M,6,1,0,11/12/2015 18:20
417,1,F,33,2,1,11/12/2015 18:20
418,1,F,6,2,1,11/12/2015 18:21
419,1,F,24,4,2,11/12/2015 18:21
420,1,M,24,1,0,11/12/2015 18:26
421,1,M,33,3,2,11/12/2015 18:26
422,1,F,33,4,2,11/12/2015 18:26
423,1,M,24,6,2,11/12/2015 18:28
424,1,F,33,2,0,11/12/2015 18:28
425,1,M,24,11,2,11/12/2015 18:28
426,1,M,24,2,0,11/12/2015 18:28
427,1,M,6,1,0,11/12/2015 18:28
428,1,F,33,2,1,11/12/2015 18:28
429,1,M,33,5,0,11/12/2015 18:29
430,1,M,6,5,2,11/12/2015 18:29
431,1,F,6,5,2,11/12/2015 18:29
432,1,M,24,4,2,11/12/2015 18:36
433,1,M,24,1,0,11/12/2015 18:36
434,1,M,24,4,1,11/12/2015 18:36
435,1,M,6,1,0,11/12/2015 18:36
436,1,M,24,3,1,11/12/2015 18:36
437,1,M,58,1,0,11/12/2015 18:40
438,1,M,24,5,3,11/12/2015 18:44
439,1,F,24,3,1,11/12/2015 18:44
440,1,M,24,1,0,11/12/2015 18:44
